model,weight,vesa_size,screw_size
KU50UC7050-W1,10.9kg,200*200,M8 20~22
KU43UC7050FXKR,7.7kg,200*200,M8 20~22
KU50UC8000FXKR,10.7kg,200*200,M8 11~13
KU50UC8000-W1,10.7kg,200*200,M8 11~13
KU43UC8000-W1,8.1kg,200*200,M8 11~13
KU43UC8000FXKR,8.1kg,200*200,M8 11~13
KU43T5300A-S,8.4kg,novesa,
KU43T5300A-W3,8.4kg,novesa,
UN32N4000AFXKR,3.8kg,novesa,
UN32N4000AF-W,3.8kg,novesa,
UN43N5020AFXKR,8kg,novesa,
KU43T5300A-W,8.4kg,novesa,
KU43T5300AFXKR,8.4kg,novesa,
KQ55QNC95AFXKR,17.8kg,300*200,M8 5~6
KQ55QNC95-W,17.8kg,300*200,M8 5~6
KQ55QNC90AFXKR,17.8kg,300*200,M8 5~6
KQ55QNC90-W1,17.8kg,300*200,M8 5~6
KQ55QNC85AFXKR,17.2kg,200*200,M8 11~13
KQ55QNC85-W1,17.2kg,200*200,M8 11~13
KQ55QNB88AFXKR,17.2kg,200*200,M8 11~13
KQ55QNC83-W16,17.2kg,200*200,M8 11~13
KQ55QNC83-N26,17.2kg,200*200,M8 11~13
KQ55QNC88AFXKR,17.2kg,200*200,M8 11~13
KQ55QNC88-W1,17.2kg,200*200,M8 11~13
KQ55QNA88AFXKR,17.7kg,200*200,M8 11~13
KQ55QNA88-W1,17.7kg,200*200,M8 11~13
KQ55QNA83AFXKR,17.7kg,200*200,M8 11~13
KQ55QNA83-W1,17.7kg,200*200,M8 11~13
KQ55QNB85AFXKR,17.2kg,200*200,M8 11~13
KQ55QNC83AFXKR,17.2kg,200*200,M8 11~13
KQ55QNC83-W1N,17.2kg,200*200,M8 11~13
KQ55QNC83-W1,17.2kg,200*200,M8 11~13
KQ55QNC83-4,17.2kg,200*200,M8 11~13
KQ55QNC83-W1N4,17.2kg,200*200,M8 11~13
KQ55QNC83-W14,17.2kg,200*200,M8 11~13
KQ55QNC83-FF,17.2kg,200*200,M8 11~13
KQ55QNC83-FFW,17.2kg,200*200,M8 11~13
KQ55QNB83AFXKR,17.2kg,200*200,M8 11~13
KQ55QNB95AFXKR,16.1kg,400*300,M8 5~6
KQ55QNB95-W,16.1kg,400*300,M8 5~6
KQ55SC95-B5,13.8kg,400*300,M8 5~6
KQ55SC95-W1NB5,13.8kg,400*300,M8 5~6
KQ55SC95-WB5,13.8kg,400*300,M8 5~6
KQ55SC95AFXKR,13.8kg,400*300,M8 5~6
KQ55SC95-W1NB,13.8kg,400*300,M8 5~6
KQ55SC95-W,13.8kg,400*300,M8 5~6
KQ55SC90AFXKR,16.2kg,300*200,M8 28~30
KQ55SC90-W1,16.2kg,300*200,M8 28~30
KQ55SC95-6,13.8kg,400*300,M8 5~6
KQ55SC95-N16,13.8kg,400*300,M8 5~6
KQ55SC95-W6,13.8kg,400*300,M8 5~6
KQ55SC95-N26,13.8kg,400*300,M8 5~6
KQ55SC95-R-S,13.8kg,400*300,M8 5~6
KQ55SC95-R-W,13.8kg,400*300,M8 5~6
KQ55SC90-Q,16.2kg,300*200,M8 28~30
KQ55SC90-W1Q,16.2kg,300*200,M8 28~30
KQ55SC95-Q,13.8kg,400*300,M8 5~6
KQ55SC95-WQ,13.8kg,400*300,M8 5~6
KQ55QCE1-4,15.5kg,200*200,M8 11~13
KQ55QCE1-W1N4,15.5kg,200*200,M8 11~13
KQ55QCE1-W14,15.5kg,200*200,M8 11~13
KQ55QCE1AFXKR,15.5kg,200*200,M8 11~13
KQ55QCE1-W1N,15.5kg,200*200,M8 11~13
KQ55QCE1-W1,15.5kg,200*200,M8 11~13
KQ55QB65-B5,15.5kg,200*200,M8 11~13
KQ55QB65-W1B5,15.5kg,200*200,M8 11~13
KQ55QB65AFXKR,15.5kg,200*200,M8 11~13
KQ55QB65-W1,15.5kg,200*200,M8 11~13
KQ55QD60AFXKR,15.5kg,200*200,M8 11~13
KQ55QC70AFXKR,15.3kg,200*200,M8 11~13
KQ55QC70-W1,15.3kg,200*200,M8 11~13
KQ55QC80AFXKR,17.1kg,200*200,M8 17~19
KQ55QC80-W1,17.1kg,200*200,M8 17~19
KQ55QC75AFXKR,15.3kg,200*200,M8 11~13
KQ55QC75-W1,15.3kg,200*200,M8 11~13
KQ55QC68AFXKR,14.7kg,200*200,M8 11~13
KQ55QC70-4,15.3kg,200*200,M8 11~13
KQ55QC70-N14,15.3kg,200*200,M8 11~13
KQ55QC70-W14,15.3kg,200*200,M8 11~13
KQ55QC70-N24,15.3kg,200*200,M8 11~13
KQ55QC67AFXKR,14.7kg,200*200,M8 11~13
KQ55QA80AFXKR,17.9kg,200*200,
KQ55QA80-W1,17.9kg,200*200,
KQ55QB60-C,15.5kg,200*200,M8 11~13
KQ55QB60-W1C,15.5kg,200*200,M8 11~13
KQ60QB60-B5,18.6kg,400*300,M8 11~13
KQ60QB60-W1B5,18.6kg,400*300,M8 11~13
KQ55QB70-B5,16.1kg,200*200,M8 11~13
KQ55QB70-W1B5,16.1kg,200*200,M8 11~13
KQ55QB70-5,16.1kg,200*200,M8 11~13
KQ55QB70-W15,16.1kg,200*200,M8 11~13
KQ55QB80AFXKR,17.9kg,200*200,M8 26~28
KQ55QB80-W1,17.9kg,200*200,M8 26~28
KQ55QT67AFXKR,17.4kg,novesa,
QN55Q70RAF-S,18kg,novesa,
KQ55QB67AFXKR,15.5kg,200*200,M8 11~13
KQ55QB67-W1,15.5kg,200*200,M8 11~13
KQ55QC60AFXKR,14.7kg,200*200,M8 11~13
KQ55QC60-W1,14.7kg,200*200,M8 11~13
KQ55QC65AFXKR,14.7kg,200*200,M8 11~13
KQ55QC65-W1,14.7kg,200*200,M8 11~13
KQ55QB65-5,15.5kg,200*200,M8 11~13
KQ55QB65-W15,15.5kg,200*200,M8 11~13
KQ55QB70-4,16.1kg,200*200,M8 11~13
KQ55QB70-W14,16.1kg,200*200,M8 11~13
KQ55QB70AFXKR,16.1kg,200*200,M8 11~13
KQ55QB70-W1,16.1kg,200*200,M8 11~13
KQ55QB75AFXKR,16.1kg,200*200,M8 11~13
KQ55QB75-W1,16.1kg,200*200,M8 11~13
"KQ60QB60-5
",18.6kg,400*300,M8 11~13
KQ60QB60-W15,18.6kg,400*300,M8 11~13
KQ60QB60AFXKR,18.6kg,400*300,M8 11~13
KQ60QB60-W1,18.6kg,400*300,M8 11~13
KQ55QT80AFXKR,17.9kg,novesa,
"KQ55QT70AFXKR
",17.2kg,novesa,
KQ55QT90AFXKR,20.1kg,novesa,
KU75UA7000FXKR,30.4kg,400*400,M8 11~13mm 
KU75UA7000-W3,30.4kg,400*400,M8 11~13mm 
KQ75QCE1AFXKR,31.4kg,400*400,M8 11~13mm
KQ75QCE1-W1N,31.4kg,400*400,M8 11~13mm 
KQ75QCE1-W1,31.4kg,400*400,M8 11~13mm 
KQ75QCE1-5,31.4kg,400*400,M8 11~13mm 
KQ75QCE1-W1N5,31.4kg,400*400,M8 11~13mm 
KQ75QCE1-W15,31.4kg,400*400,M8 11~13mm 
KU75UA7000-4,30.4kg,400*400,M8 11~13mm 
KU75UA7000W34,30.4kg,400*400,M8 11~13mm 
KQ75QNC83AFXKR,34kg,400*400,M8 11~13mm 
KQ75QNC83-W1N,34kg,400*400,M8 11~13mm 
KQ75QNC83-W1,34kg,400*400,M8 11~13mm 
KQ75QNC83-8,34kg,400*400,M8 11~13mm 
KQ75QNC83-W1N8,34kg,400*400,M8 11~13mm 
KQ75QNC83-N18,34kg,400*400,M8 11~13mm 
KQ75QNC83-W18,34kg,400*400,M8 11~13mm 
KQ75QC70AFXKR,33.4kg,400*400,M8 11~13mm 
KQ75QC70-W1,33.4kg,400*400,M8 11~13mm 
KQ75QC80AFXKR,32.7kg,400*400,M8 17~19mm
KQ75QC80-W1,32.7kg,400*400,M8 17~19mm
KQ75QNC800FXKR,31.9kg,400*400,M8 5~6mm
KQ75QNC800-W1,31.9kg,400*400,M8 5~6mm
KQ75QNC88AFXKR,34kg,400*400,M8 11~13mm 
KQ75QNC88-W1,34kg,400*400,M8 11~13mm 
KQ75QNC900FXKR,31.2kg,400*400,M8 5~6mm
KQ75QNC900-W1,31.2kg,400*400,M8 5~6mm
KQ75QNC95AFXKR,32.5kg,400*400,M8 5~6mm
KQ75QNC95-W1,32.5kg,400*400,M8 5~6mm
KQ77SC90AFXKR,35.1kg,400*300,M8 28~30mm
KQ77SC90-W1,35.1kg,400*300,M8 28~30mm
KQ77SC95-7S,28.2kg,400*400,M8 5~6mm
KQ77SC95-W1N7,28.2kg,400*400,M8 5~6mm
KQ77SC95-W17,28.2kg,400*400,M8 5~6mm
KQ77SC95AFXKR,28.2kg,400*400,M8 5~6mm
KQ77SC95-W1N,28.2kg,400*400,M8 5~6mm
KQ77SC95-W1,28.2kg,400*400,M8 5~6mm
KQ77SC9SAFXKR,35.1kg,400*300,M8 28~30mm
KQ77SC9S-W1,35.1kg,400*300,M8 28~30mm
KQ75QD60AFXKR,31.4kg,400*400,M8 11~13mm
KQ75QNC83-FF,34kg,400*400,M8 11~13mm 
KQ75QNC83-FFW,34kg,400*400,M8 11~13mm 
KQ75QNC700FXKR,31.6kg,400*400,M8 5~6mm
KQ75QNC700-W1,31.6kg,400*400,M8 5~6mm
KQ75QNC85AFXKR,34kg,400*400,M8 11~13mm
KQ75QNC85-W1,34kg,400*400,M8 11~13mm
KQ75QNC90AFXKR,34.1kg,400*400,M8 11~13mm
KQ75QNC90-W1,34.1kg,400*400,M8 11~13mm
KQ75QB65AFXKR,31.4kg,400*400,M8 11~13mm
KQ75QB65-W1,31.4kg,400*400,M8 11~13mm
KQ75QCE1-4,31.4kg,400*400,M8 11~13mm
KQ75QCE1-W1N4,31.4kg,400*400,M8 11~13mm
KQ75QCE1-W14,31.4kg,400*400,M8 11~13mm
KQ75QC83AFXKR,32.7kg,400*400,M8 17~19mm
KQ75QC68-FGC,28.5kg,400*400,M8 11~13mm
KQ75QC68-FGCW,28.5kg,400*400,M8 11~13mm
KQ75QB60AFXKR,31.4kg,400*400,M8 11~13mm
KQ75QB60-W1,31.4kg,400*400,M8 11~13mm
KQ75QC70-FVGC,33.4kg,400*400,M8 11~13mm
KQ75QC70-FVGCW,33.4kg,400*400,M8 11~13mm
KQ75QC75AFXKR,33.4kg,400*400,M8 11~13mm
KQ75QC75-W1,33.4kg,400*400,M8 11~13mm
KQ75QB67-B5,31.4kg,400*400,M8 11~13mm
KQ75QB67-W1B5,31.4kg,400*400,M8 11~13mm
KU75UC7050FXKR,30.4kg,400*400,M8 20~22mm
KQ75QNC800-8,31.9kg,400*400,M8 5~6mm
KQ75QNC800-N18,31.9kg,400*400,M8 5~6mm
KQ75QNC800-W18,31.9kg,400*400,M8 5~6mm
KQ75QC68AFXKR,31.4kg,400*400,M8 11~13mm
KQ75QC70-4,33.4kg,400*400,M8 11~13mm
KQ75QC70-N14,33.4kg,400*400,M8 11~13mm
KQ75QC70-W14,33.4kg,400*400,M8 11~13mm
KQ77SC95-8,28.2kg,400*400,M8 5~6mm
KQ77SC95-W18,28.2kg,400*400,M8 5~6mm
KU75UC8000-B6,31.4kg,400*400,M8 11~13mm
KU75UC8000W1B6,31.4kg,400*400,M8 11~13mm
KU75UC8070-4,31.4kg,400*400,M8 11~13mm
KU75UC8070-W14,31.4kg,400*400,M8 11~13mm
KQ77SC95-9BS,28.2kg,400*400,M8 5~6mm
KQ77SC95-W19B,28.2kg,400*400,M8 5~6mm
KQ75QNC700-FB,31.2kg,400*400,M8 5~6mm
KQ75QNC700-FBW,31.2kg,400*400,M8 5~6mm
KQ75QNC85-FW9,34kg,400*400,M8 11~13mm
KQ75QNC85-F9,34kg,400*400,M8 11~13mm
KQ75QC67AFXKR,31.4kg,400*400,M8 11~13mm
KU75UC7030FXKR,30.4kg,400*400,M8 20~22mm
KU75UC7070FXKR,30.4kg,400*400,M8 20~22mm
KU75UC7070-W1,30.4kg,400*400,M8 20~22mm
KU75UC8100FXKR,31.4kg,400*400,M8 11~13mm
KU75UC8100-W1,31.4kg,400*400,M8 11~13mm
KQ75QNC700-F,31.6kg,400*400,M8 5~6mm
KQ75QNC700-FW,31.6kg,400*400,M8 5~6mm
KQ75QNC850FXKR,31.9kg,400*400,M8 5~6mm
KQ75QNC850-W1,31.9kg,400*400,M8 5~6mm
KU75UB8000-WB5,31.4kg,400*400,M8 11~13mm
KU75UB8000-WS,31.4kg,400*400,M8 11~13mm
KQ75QB83AFXKR,34.4kg,400*400,M8 26~28mm
KQ75QB83-W1,34.4kg,400*400,M8 26~28mm
KQ75QNB750FXKR,31.5kg,400*400,M8 5~6mm
KQ75QNB750-W1,31.5kg,400*400,M8 5~6mm
KQ75QNA900FXKR,31kg,400*400,M8 5~6mm
KQ75QNA900-W1,31kg,400*400,M8 5~6mm
KU75UA8000-A6,32.1kg,400*400,
KU75UA8000W1A6,32.1kg,400*400,
KQ75QNB88AFXKR,34kg,400*400,M8 11~13mm
KU75UB8070FXKR,31.4kg,400*400,M8 11~13mm
KU75UB8070-W1,31.4kg,400*400,M8 11~13mm
KU75UB8100FXKR,31.4kg,400*400,M8 11~13mm
KU75UB8100-W1,31.4kg,400*400,M8 11~13mm
KQ75QA70-6,34.1kg,400*400,
KQ75QA70-W16,34.1kg,400*400,
KQ75QA70AFXKR,34.1kg,400*400,
KQ75QA70-W1,34.1kg,400*400,
KQ75QA80-6,34.4kg,400*400,
KQ75QA80-W16,34.4kg,400*400,
KQ75QNA800-6,32.1kg,400*400,M8 5~6mm
KQ75QNA85A-S6,32.1kg,400*400,M8 5~6mm
KQ75QNA85A-W6,32.1kg,400*400,M8 5~6mm
KQ75QNA85AFXKR,34.6kg,400*400,M8 5~6mm
KQ75QNA85-W1,34.6kg,400*400,M8 5~6mm
KQ75QNA90A-S6,31kg,400*400,M8 5~6mm
KQ75QNA90A-W6,31kg,400*400,M8 5~6mm
KQ75QT800AFXKR,34.3kg,novesa,
KQ75QT800A-W,34.3kg,novesa,
KQ75QT950SFXKR,34.4kg,400*400,M8 5~6mm
KQ75QT950S-W,34.4kg,400*400,M8 5~6mm
KQ75QA67AFXKR,32.1kg,400*400,M8 11~13mm
KU75UA8000-QL,32.1kg,400*400,M8 11~13mm
KU75UA8000-6S,32.1kg,400*400,M8 11~13mm
KU75UA8000W16S,32.1kg,400*400,M8 11~13mm
KU75UA8180FXKR,32.1kg,400*400,M8 11~13mm
KQ75QT800A-S,34.3kg,novesa,
KQ75QNA700FXKR,32.1kg,400*400,M8 5~6mm
KQ75QNB700FXKR,31.5kg,400*400,M8 5~6mm
"KQ75QNB700-W1
",31.5kg,400*400,M8 5~6mm
KU75UT8050FXKR,30.4kg,novesa,
KU75UB8000-B5,31.4kg,400*400,M8 11~13mm
KU75UB8000W1B5,31.4kg,400*400,M8 11~13mm
KQ75QB70-B5,33.4kg,400*400,M8 11~13mm
KQ75QB70-W1B5,33.4kg,400*400,M8 11~13mm
KU75UT8000FXKR,30.4kg,novesa,
KU75UA7050B5,30.4kg,400*400,M8 11~13mm 
KU75UA7050W3B5,30.4kg,400*400,M8 11~13mm 
KU75UA7050-W3,30.4kg,400*400,M8 11~13mm 
KU75UA7050-5,30.4kg,400*400,M8 11~13mm 
KU75UA7050-W35,30.4kg,400*400,M8 11~13mm 
"KU75UC8070-B5
",31.4kg,400*400,M8 11~13mm
KU75UC8070W1B5,31.4kg,400*400,M8 11~13mm
KU75UC8070FXKR,31.4kg,400*400,M8 11~13mm
KU75UC8070-W1,31.4kg,400*400,M8 11~13mm
KU75UT7000FXKR,30.4kg,novesa,
KQ75QT60AFXKR,36kg,novesa,
KU75UT8050-S1,30.4kg,novesa,
KQ75QT67AFXKR,36kg,novesa,
KQ75QT60A-W,36kg,novesa,
KQ75QB65-B5,31.4kg,400*400,M8 11~13mm
KQ75QB65-W1B5,31.4kg,400*400,M8 11~13mm
KQ75QB67AFXKR,31.4kg,400*400,M8 11~13mm
KQ75QB67-W1,31.4kg,400*400,M8 11~13mm
KQ75QC60AFXKR,31.4kg,400*400,M8 11~13mm
KQ75QC60-W1,31.4kg,400*400,M8 11~13mm
KQ75QC65AFXKR,31.4kg,400*400,M8 11~13mm
KQ75QC65-W1,31.4kg,400*400,M8 11~13mm
KQ75QNC700-FF,31.6kg,400*400,M8 5~6mm
KQ75QNC700-FFW,31.6kg,400*400,M8 5~6mm
KQ75QNC85-F,34kg,400*400,M8 11~13mm 
KQ75QNC85-FW,34kg,400*400,M8 11~13mm 
KQ77SC95-FW,28.2kg,400*400,M8 5~6mm
KQ77SC95-F,28.2kg,400*400,M8 5~6mm
KU75UA8090FXKR,32.1kg,400*400,M8 11~13mm
KU75UA8090-W3,32.1kg,400*400,M8 11~13mm
KU75UC7000FXKR,30.4kg,400*400,M8 20~22mm
KU75UC7000-W1,30.4kg,400*400,M8 20~22mm
KU75UC8000FXKR,31.4kg,400*400,M8 11~13mm
KU75UC8000-W1,31.4kg,400*400,M8 11~13mm
KU75UC8500FXKR,31.4kg,400*400,M8 11~13mm
KU75UC8500-W1,31.4kg,400*400,M8 11~13mm
KQ75QNB95AFXKR,31.3kg,400*400,M8 5~6mm
KQ75QNB95-W1,31.3kg,400*400,M8 5~6mm
KQ75QNB83AFXKR,34kg,400*400,M8 11~13mm
"KQ75QNB83-W1
",34kg,400*400,M8 11~13mm
KQ75QB70-5,33.4kg,400*400,M8 11~13mm
KQ75QB70-W15,33.4kg,400*400,M8 11~13mm
KQ75QB70-W1,33.4kg,400*400,M8 11~13mm
KQ75QB75-W1,33.4kg,400*400,M8 11~13mm
KQ75QB80-W1,34.4kg,400*400,M8 26~28mm
KQ75QC80-5,32.7kg,400*400,M8 17~19mm
KQ75QC80-W15,32.7kg,400*400,M8 17~19mm
KQ75QNB700-5,31.5kg,400*400,M8 5~6mm
KQ75QNB700-W15,31.5kg,400*400,M8 5~6mm
KQ75QNB800FXKR,34kg,400*400,M8 11~13mm
KQ75QNB800-W1,34kg,400*400,M8 11~13mm
"KQ75QNB85-5
",34kg,400*400,M8 11~13mm
KQ75QNB85-W15,34kg,400*400,M8 11~13mm
KQ75QNB85AFXKR,34kg,400*400,M8 11~13mm
KQ75QNB85-W1,34kg,400*400,M8 11~13mm
KQ75QNB90AFXKR,31.3kg,400*400,M8 5~6mm
KQ75QNB90-W1,31.3kg,400*400,M8 5~6mm
KQ75QNC83-5,34kg,400*400,M8 11~13mm
KQ75QNC83-W15,34kg,400*400,M8 11~13mm
KQ75QNC85-F7,34kg,400*400,M8 11~13mm
KQ75QNC85-FW7,34kg,400*400,M8 11~13mm
KQ77SC90-6,35.1kg,400*400,M8 28~30mm
KQ77SC90-W16,35.1kg,400*400,M8 28~30mm
KU75UA7000-W34,30.4kg,400*400,M8 11~13mm 
KQ75QT80AFXKR,34.3kg,novesa,
KQ75QT85AFXKR,34.3kg,novesa,
KQ75QT70AFXKR,36kg,novesa,
KQ75QT90AFXKR,38.7kg,novesa,
KU65UA7000FXKR,20.6kg,400*300,
KU65UA7000-W3,20.6kg,400*300,
KQ65QCE1AFXKR,20.9kg,400*300,M8 11~13mm
KQ65QCE1-W1N,20.9kg,400*300,M8 11~13mm
KQ65QCE1-W1,20.9kg,400*300,M8 11~13mm
KQ65QNC90AFXKR,24.2kg,400*300,M8 11~13mm
KQ65QNC90-W1,24.2kg,400*300,M8 11~13mm
KQ65SC95AFXKR,18.9kg,400*300,M8 5~6mm
KQ65SC95-W1N,18.9kg,400*300,M8 5~6mm
KQ65SC95-W1,18.9kg,400*300,M8 5~6mm
KQ65QCE1-4,20.9kg,400*300,M8 11~13mm
KQ65QCE1-W1N4,20.9kg,400*300,M8 11~13mm
KQ65QCE1-W14,20.9kg,400*300,M8 11~13mm
KU65UA7000-45,20.6kg,400*300,
KU65UA7000W345,20.6kg,400*300,
KQ65QNC83AFXKR,23.7kg,400*300,M8 11~13mm
KQ65QNC83-W1N,23.7kg,400*300,M8 11~13mm
KQ65QNC83-W1,23.7kg,400*300,M8 11~13mm
KQ65QNC83W1N60,23.7kg,400*300,M8 11~13mm
KQ65QNC83-6,23.7kg,400*300,M8 11~13mm
KQ65QNC83-N16,23.7kg,400*300,M8 11~13mm
KQ65QNC83-W16,23.7kg,400*300,M8 11~13mm
KQ65QNC83-N26,23.7kg,400*300,M8 11~13mm
KQ65QC70AFXKR,21.4kg,400*300,M8 11~13mm
KQ65QC70-W1,21.4kg,400*300,M8 11~13mm
KQ65QC80AFXKR,21.4kg,400*300,M8 11~13mm
KQ65QC80-W1,21.4kg,400*300,M8 11~13mm
KQ65QNC800FXKR,23.7kg,400*300,M8 11~13mm
KQ65QNC800-W1,23.7kg,400*300,M8 11~13mm
KQ65QNC95AFXKR,24.2kg,400*300,M8 11~13mm
KQ65QNC95-W1,24.2kg,400*300,M8 11~13mm
KQ65SC95-7S,18.9kg,400*300,M8 5~6mm
KQ65SC95-W1N7,18.9kg,400*300,M8 5~6mm
KQ65SC95-W7B,18.9kg,400*300,M8 5~6mm
KQ65SC9SAFXKR,21.1kg,300*200,M8 28~30mm
KQ65SC9S-N1,21.1kg,300*200,M8 28~30mm
KQ65SC9S-W1,21.1kg,300*200,M8 28~30mm
KQ65QD60AFXKR,20.9kg,400*300,M8 11~13mm
KQ65QNC83-FF,23.7kg,400*300,M8 11~13mm
KQ65QNC83-FFW,23.7kg,400*300,M8 11~13mm
KQ65QNC85AFXKR,23.7kg,400*300,M8 11~13mm
KQ65QNC85-W1,23.7kg,400*300,M8 11~13mm
KQ65SC90AFXKR,21.1kg,300*200,M8 28~30mm
KQ65SC90-W1,21.1kg,300*200,M8 28~30mm
KQ65QCE1-5,20.9kg,400*300,M8 11~13mm
"KQ65QCE1-W1N5
",20.9kg,400*300,M8 11~13mm
KQ65QCE1-W15,20.9kg,400*300,M8 11~13mm
KQ65QC83AFXKR,22.9kg,400*300,M8 17~19mm
KQ65QC75AFXKR,21.4kg,400*300,M8 11~13mm
KQ65QC75-W1,21.4kg,400*300,M8 11~13mm
KQ65QNC800-8,23.7kg,400*300,M8 11~13mm
"KQ65QNC800-N18
",23.7kg,400*300,M8 11~13mm
KQ65QNC800-W18,23.7kg,400*300,M8 11~13mm
KQ65QNC800-N28,23.7kg,400*300,M8 11~13mm
KQ65QC68AFXKR,20.9kg,400*300,M8 11~13mm
KQ65QC70-4,21.4kg,400*300,M8 11~13mm
KQ65QC70-N14,21.4kg,400*300,M8 11~13mm
KQ65QC70-W14,21.4kg,400*300,M8 11~13mm
KQ65QC70-N24,21.4kg,400*300,M8 11~13mm
KQ65SC95-8,18.9kg,400*300,M8 5~6mm
KQ65SC95-N18,18.9kg,400*300,M8 5~6mm
KQ65SC95-W18,18.9kg,400*300,M8 5~6mm
KQ65SC95-N28,18.9kg,400*300,M8 5~6mm
KU65UC8000-B6,20.9kg,400*300,M8 11~13mm
KU65UC8000N1B6,20.9kg,400*300,M8 11~13mm
KU65UC8000W1B6,20.9kg,400*300,M8 11~13mm
KU65UC8000N2B6,20.9kg,400*300,M8 11~13mm
KU65UC8070-4,20.9kg,400*300,M8 11~13mm
KU65UC8070-W14,20.9kg,400*300,M8 11~13mm
KQ65SC95-R-W,18.9kg,400*300,M8 5~6mm
KQ65SC95-9BS,18.9kg,400*300,M8 5~6mm
KQ65SC95-W19B,18.9kg,400*300,M8 5~6mm
KQ65QNC700-FBW,22.4kg,400*300,M8 5~6mm
KQ65QNC85-F9,22.5kg,400*300,M8 5~6mm
KQ65QNC85-FW9,22.5kg,400*300,M8 5~6mm
KQ65QC67AFXKR,20.9kg,400*300,M8 11~13mm
KU65UC7030FXKR,20.6kg,400*300,M8 20~22mm
KU65UC7050FXKR,20.6kg,400*300,M8 20~22mm
KU65UC7070FXKR,20.6kg,400*300,M8 20~22mm
KU65UC7070-W1,20.6kg,400*300,M8 20~22mm
KU65UC8100FXKR,20.9kg,400*300,M8 11~13mm
KU65UC8100-W1,20.9kg,400*300,M8 11~13mm
KQ65QNC700-F,22.4kg,400*300,M8 5~6mm
KQ65QNC700-FW,22.4kg,400*300,M8 5~6mm
KQ65SC95-Q,18.9kg,400*300,M8 5~6mm
KQ65SC95-W1Q,18.9kg,400*300,M8 5~6mm
KQ65QNC88AFXKR,22.5kg,400*300,M8 5~6mm
KQ65QNC88-W1,22.5kg,400*300,M8 5~6mm
KQ65QNC850FXKR,22.5kg,400*300,M8 5~6mm
KQ65QNC850-W2,22.5kg,400*300,M8 5~6mm
KU65UB8000-WB5,20.9kg,400*300,M8 11~13mm
KU65UB8000-WS,20.9kg,400*300,M8 11~13mm
KQ65QNB750FXKR,22.6kg,400*300,M8 5~6mm
KQ65QNB750-W1,22.6kg,400*300,M8 5~6mm
KQ65QNA800FXKR,22.7kg,400*300,M8 5~6mm
KQ65QNA800-W1,22.7kg,400*300,M8 5~6mm
KQ65QA70AFXKR,21.4kg,400*300,
KU65UB8070FXKR,20.9kg,400*300,M8 11~13mm
KU65UB8070-W1,20.9kg,400*300,M8 11~13mm
KQ65QA70-W16,21.4kg,400*300,
KQ65QA80-6,24.1kg,400*300,
"KQ65QA80-W16
",24.1kg,400*300,
KQ65QNA800-6,22.7kg,400*300,M8 5~6mm
KQ65QNA800-W16,22.7kg,400*300,M8 5~6mm
KQ65QNA85-6S,22.7kg,400*300,M8 5~6mm
"KQ65QNA85-W6S
",22.7kg,400*300,M8 5~6mm
KQ65QNA85AFXKR,22.7kg,400*300,M8 5~6mm
KQ65QNA85-W1,22.7kg,400*300,M8 5~6mm
KQ65QNA90-6S,24.4kg,400*300,
KQ65QNA90-W6S,24.4kg,400*300,
KQ65QNA90AFXKR,24.4kg,400*300,
KQ65QNA90-W1,24.4kg,400*300,
KQ65QB60AFXKR,20.9kg,400*300,M8 11~13mm
KQ65QB60-W1,20.9kg,400*300,M8 11~13mm
KQ65QA67AFXKR,20.9kg,400*300,M8 11~13mm
KQ65QA60-6,20.9kg,400*300,M8 11~13mm
KQ65QA60-W16,20.9kg,400*300,M8 11~13mm
KQ65QT70A-W,22.3kg,novesa,
KQ65QT800A-S,24kg,novesa,
KQ65QT800A-W,24kg,novesa,
KQ65QB65AFXKR,20.9kg,400*300,M8 11~13mm
KQ65QB65-W1,20.9kg,400*300,M8 11~13mm
KQ65QB80AFXKR,24.1kg,400*300,M8 26~28mm
KQ65QB80-W1,24.1kg,400*300,M8 26~28mm
KU65UT8050FXKR,20.6kg,novesa,
KU65UB8000-B5,20.9kg,400*300,M8 11~13mm
KU65UB8000W1B5,20.9kg,400*300,M8 11~13mm
KQ65QB70-B5,21.4kg,400*300,M8 11~13mm
KQ65QB70-W1B5,21.4kg,400*300,M8 11~13mm
KQ65QT800AFXKR,24kg,novesa,
KU65UC8070-C4,20.9kg,400*300,M8 11~13mm
KU65UC8070W1C4,20.9kg,400*300,M8 11~13mm
KU65UT8000FXKR,20.6kg,novesa,
KQ65QB70-5,21.4kg,400*300,M8 11~13mm
KQ65QB70-W15,21.4kg,400*300,M8 11~13mm
KU65UT7000FXKR,20.6kg,novesa,
KU65UC8070FXKR,20.9kg,400*300,M8 11~13mm
KU65UC8070-W1,20.9kg,400*300,M8 11~13mm
KU65UT8050-S,20.6kg,novesa,
KU65UT8500FXKR,22.3kg,novesa,
QN65Q79RAF-W,24.3kg,novesa,
KQ65QT95AFXKR,26.2kg,novesa,
KQ65QT67AFXKR,22.6kg,novesa,
QN65Q79RAF-S,24.3kg,novesa,
KQ65QB65-B5,20.9kg,400*300,M8 11~13mm
KQ65QB65-W1B5,20.9kg,400*300,M8 11~13mm
KQ65QB67AFXKR,20.9kg,400*300,M8 11~13mm
KQ65QB67-W1,20.9kg,400*300,M8 11~13mm
KQ65QC60AFXKR,20.9kg,400*300,M8 11~13mm
